src_group	dst_group	hemi	n_edges	delta_mean	delta_median	frac_delta_positive	sign_flip_frac	pos_to_neg_count	neg_to_pos_count	pos_to_neg_frac	neg_to_pos_frac
neuron	muscle	L→X	183	0.03153715846994535	0.00010000000000021103	0.5081967213114754	0.03825136612021858	3	1	0.01639344262295082	0.00546448087431694
neuron	muscle	R→X	176	0.01364829545454545	0.00039999999999995595	0.5397727272727273	0.03409090909090909	1	1	0.005681818181818182	0.005681818181818182
neuron	muscle	X→X	713	0.0794249649368864	9.999999999976694e-05	0.5105189340813464	0.011220196353436185	1	0	0.001402524544179523	0.0
neuron	neuron	L→L	937	0.07071184631803627	0.00019999999999997797	0.5250800426894343	0.025613660618996798	6	1	0.0064034151547491995	0.0010672358591248667
neuron	neuron	L→R	705	0.11104553191489361	0.00039999999999995595	0.5645390070921986	0.02127659574468085	1	0	0.0014184397163120568	0.0
neuron	neuron	L→X	461	0.07610932754880693	0.00019999999999997797	0.5336225596529284	0.02386117136659436	3	0	0.006507592190889371	0.0
neuron	neuron	R→L	784	0.0917876275510204	0.000600000000000378	0.5714285714285714	0.03316326530612245	9	0	0.011479591836734694	0.0
neuron	neuron	R→R	1020	0.0357169607843137	0.00039999999999995595	0.5637254901960784	0.041176470588235294	13	0	0.012745098039215686	0.0
neuron	neuron	R→X	503	0.1795202783300199	0.000600000000000378	0.6043737574552683	0.02982107355864811	4	0	0.007952286282306162	0.0
neuron	neuron	X→L	314	0.06626273885350319	0.00019999999999997797	0.5414012738853503	0.041401273885350316	0	4	0.0	0.012738853503184714
neuron	neuron	X→R	365	0.08084410958904112	9.999999999998899e-05	0.5150684931506849	0.03287671232876712	2	0	0.005479452054794521	0.0
neuron	neuron	X→X	946	0.2077767441860465	0.0016499999999998183	0.5930232558139535	0.02536997885835095	8	3	0.008456659619450317	0.003171247357293869
neuron	sensory	L→L	118	0.023947457627118637	0.00014999999999987246	0.5084745762711864	0.0423728813559322	0	0	0.0	0.0
neuron	sensory	L→R	18	0.06663888888888886	0.005249999999999977	0.6666666666666666	0.0	0	0	0.0	0.0
neuron	sensory	R→L	18	0.2189222222222222	0.00034999999999996145	0.5555555555555556	0.05555555555555555	0	0	0.0	0.0
neuron	sensory	R→R	103	0.03618252427184465	0.0009999999999998899	0.6019417475728155	0.04854368932038835	1	0	0.009708737864077669	0.0
neuron	sensory	X→L	6	-0.33161666666666667	-0.004850000000000021	0.3333333333333333	0.3333333333333333	0	0	0.0	0.0
neuron	sensory	X→R	7	-0.014571428571428553	-0.010000000000000009	0.14285714285714285	0.0	0	0	0.0	0.0
sensory	muscle	L→X	14	0.004192857142857077	0.009999999999999787	0.5714285714285714	0.0	0	0	0.0	0.0
sensory	muscle	R→X	23	0.05013913043478261	0.000300000000000189	0.5652173913043478	0.0	0	0	0.0	0.0
sensory	neuron	L→L	133	0.07647669172932331	0.00019999999999997797	0.5338345864661654	0.03759398496240601	2	0	0.015037593984962405	0.0
sensory	neuron	L→R	52	0.06376923076923072	0.0	0.5	0.0	0	0	0.0	0.0
sensory	neuron	L→X	20	0.13408000000000003	0.010000000000000009	0.65	0.15	0	0	0.0	0.0
sensory	neuron	R→L	38	0.1807736842105263	0.005399999999999849	0.631578947368421	0.05263157894736842	0	0	0.0	0.0
sensory	neuron	R→R	145	0.0801193103448276	-0.00019999999999997797	0.46206896551724136	0.006896551724137931	0	0	0.0	0.0
sensory	neuron	R→X	10	-0.04109	0.00934999999999997	0.7	0.1	1	0	0.1	0.0
sensory	sensory	L→L	14	-0.05675714285714284	-0.009999999999999898	0.42857142857142855	0.07142857142857142	0	0	0.0	0.0
sensory	sensory	L→R	12	0.09144166666666664	0.0	0.5	0.0	0	0	0.0	0.0
sensory	sensory	R→L	11	0.060172727272727246	0.009999999999999787	0.7272727272727273	0.0	0	0	0.0	0.0
sensory	sensory	R→R	20	-0.04634	4.999999999999449e-05	0.5	0.05	0	0	0.0	0.0
