sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
ASHR	MVL10	11162.0	9951.38581693524	-1210.6141830647593	91
FLPR	MVL13	26318.0	25115.584691871733	-1202.4153081282675	92
ASHL	MDL17	12538.0	11338.078740739431	-1199.921259260569	93
ASHL	MVL11	12930.0	11732.828121455968	-1197.1718785440316	94
ASHR	MVL18	27680.0	26485.34425116887	-1194.65574883113	95
ADFL	MDR01	-6478.0	-5290.412710165257	1187.5872898347434	96
FLPR	MDR22	8110.0	9276.632959187893	1166.632959187893	97
ASHL	MDL16	21926.0	20765.24899169342	-1160.751008306579	98
ASHL	MDR16	21926.0	20765.24899169342	-1160.751008306579	99
FLPR	MVR19	55490.0	54345.77013403793	-1144.229865962072	100
FLPL	MDR14	149469.0	148326.4952703258	-1142.5047296741977	101
FLPL	MDL08	58460.0	57327.451727184816	-1132.5482728151837	102
FLPL	MVL12	-31113.0	-29989.87953664688	1123.1204633531197	103
FLPR	MDL08	54678.0	53560.955356022765	-1117.044643977235	104
ASHR	MDR11	31856.0	30739.659769027534	-1116.340230972466	105
FLPL	MVR14	-62194.0	-61089.97717457611	1104.02282542389	106
ASHL	MVR16	29412.0	28314.714235555624	-1097.2857644443757	107
ASHR	MVL07	6176.0	5087.720627589516	-1088.279372410484	108
FLPL	MVR15	142866.0	143938.34329293028	1072.3432929302799	109
FLPL	MDR05	15420.0	16491.67997891531	1071.6799789153083	110
ASHR	MVR17	25180.0	24110.166704311858	-1069.8332956881422	111
ASHL	MVL18	20260.0	19250.625274667735	-1009.3747253322654	112
ASHL	MDR11	25378.0	24374.780696589514	-1003.2193034104857	113
FLPR	MDR19	46394.0	45392.927435769474	-1001.072564230526	114
FLPL	MDL18	19870.0	18878.5807018868	-991.4192981132	115
FLPL	MVR23	-1974.0	-988.0308511934704	985.9691488065296	116
IL1R	MDL14	6704.0	7689.407172471817	985.4071724718169	117
ADFR	MVR01	-8587.0	-9570.692749486721	-983.6927494867214	118
ASHL	MVL20	31711.0	30734.036301973236	-976.9636980267642	119
ASHL	MDL13	27293.0	26317.8228649731	-975.1771350269009	120
FLPL	MDR23	2264.0	1300.1885399614516	-963.8114600385484	121
ASHL	MVR20	31711.0	30764.093752988247	-946.9062470117533	122
FLPR	MDR05	12822.0	13753.221638192066	931.2216381920662	123
ASHR	MDL19	17787.0	16859.855429567757	-927.1445704322432	124
FLPL	MDR18	19870.0	18943.113289812678	-926.886710187322	125
FLPR	MDL24	8110.0	9034.581047925134	924.581047925134	126
ADFL	MDL01	-4767.0	-3843.5574269527733	923.4425730472267	127
FLPR	MVL12	-9449.0	-10366.22891566822	-917.22891566822	128
ADFR	MDR04	-4849.0	-3941.5537978833995	907.4462021166005	129
FLPR	MVL19	55490.0	54601.37834214448	-888.6216578555177	130
ASHL	MVR10	10510.0	9621.764665716257	-888.2353342837432	131
FLPL	MDR07	-10944.0	-10056.038769149318	887.9612308506821	132
ASHR	MVR07	4654.0	3767.7002703714243	-886.2997296285757	133
ASHR	MDL18	11716.0	10837.69257177129	-878.3074282287107	134
ADFR	MDL08	3734.0	2864.3408638051365	-869.6591361948635	135
ASHR	MDR17	22332.0	21465.707845909088	-866.2921540909119	136
ASHR	MDR13	35947.0	35080.94035365544	-866.0596463445618	137
ADFR	MDR03	-2478.0	-1612.2448804112794	865.7551195887206	138
ASHL	MVL10	10634.0	9775.223693947959	-858.776306052041	139
ASHL	MDL20	11103.0	10280.951701848613	-822.0482981513869	140
IL1R	MDL11	5777.0	6592.401951321248	815.4019513212479	141
ADFR	MVR04	-7275.0	-6471.507529606569	803.4924703934312	142
ASHR	MVL13	12522.0	11719.71939191194	-802.28060808806	143
ASHR	MDR09	5189.0	4390.82971768749	-798.1702823125097	144
IL1R	MDR14	6722.0	7519.335418029627	797.3354180296274	145
ASHL	MDL11	33987.0	33193.532708025974	-793.467291974026	146
ASHR	MVR18	27680.0	26906.159990330936	-773.8400096690639	147
ASHR	MDL11	43574.0	42801.16761000665	-772.832389993353	148
IL1L	MVL15	6812.0	6040.09307668163	-771.90692331837	149
IL1R	MVR15	6586.0	7332.7764693208865	746.7764693208865	150
ASHL	MVR17	18593.0	17846.948180870004	-746.0518191299961	151
FLPL	MDL05	16293.0	15547.677845909726	-745.3221540902741	152
IL1L	MVR15	6812.0	6067.710341607104	-744.289658392896	153
FLPR	MVR13	25466.0	24725.069150592888	-740.930849407112	154
FLPR	MDL13	64452.0	63715.159508626246	-736.840491373754	155
ADFL	MVL06	-3507.0	-4239.888479951374	-732.8884799513744	156
