count	src_idx	dst_idx	src_name	dst_name
4	339	153	SMDDR	MDL08
4	291	246	RIGR	OLLR
4	272	393	PVNR	VD7
3	65	336	AVHR	SMBVL
3	359	102	VA3	DD1
3	68	270	AVKL	PVM
3	110	13	DVC	AIBR
3	56	28	AVBR	AS1
3	55	29	AVBL	AS10
3	27	66	AQR	AVJL
3	140	137	M3L	M1
3	52	75	AUAR	AWBR
3	82	350	CEPDL	URYDL
3	127	195	IL1VL	MVL01
3	143	143	M5	M5
