sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
FLPR	MDR18	23711.983666666667	23904.988968786747	193.00530212008016	115
ASHR	MDL23	2518.4420000000005	2710.4567911018003	192.0147911017998	116
ASHL	MVR20	31683.65933333333	31874.60983854766	190.95050521433222	117
OLQDL	MDR08	2166.561666666667	2354.630207019494	188.06854035282686	118
FLPR	MDL15	-4694.622916666666	-4508.251848070402	186.3710685962642	119
FLPL	MVR19	62889.62233333334	63073.78405083067	184.16171749732894	120
FLPR	MVULVA	11431.477333333332	11612.122690990187	180.64535765685469	121
ASHR	MDL22	2590.73	2771.1201778567333	180.39017785673332	122
FLPR	MVL23	-1562.7556666666667	-1382.4360723988002	180.31959426786648	123
ASHL	MVR12	7849.818066666666	8029.7798051937325	179.9617385270667	124
ASHR	MDL17	22430.52802	22251.71375999875	-178.81426000125066	125
FLPL	MDL19	45991.418333333335	46164.865911932546	173.44757859921083	126
ASHR	MDR14	56973.560000000005	57145.08197772298	171.52197772297222	127
FLPL	MVL12	-31519.38622666667	-31348.18760307782	171.19862358885075	128
OLQDL	MDR16	1408.4653333333333	1579.5795849640003	171.114251630667	129
OLQDL	MDL16	1394.3319999999999	1562.5772754453333	168.2452754453334	130
ASHL	MDL22	3103.300666666667	3268.7329647916	165.4322981249329	131
FLPL	MDR15	-29322.16333333333	-29159.87731967266	162.2860136606687	132
ASHL	MDL23	3043.015173333333	3203.0600607373335	160.0448874040003	133
FLPL	MDL09	-4366.268333333334	-4525.720973993034	-159.45264065969968	134
FLPL	MVULVA	8818.832333333332	8972.364221871761	153.53188853842948	135
FLPR	MDR23	8146.243	8298.618236435494	152.3752364354932	136
ADFR	MDR07	300.16700000000003	150.5739085413333	-149.59309145866672	137
ASHR	MDL16	26221.576666666668	26072.074757903003	-149.5019087636647	138
OLQDL	MDL08	1849.4083333333333	1997.8850964134133	148.47676308008	139
FLPR	MVR07	8849.658666666666	8998.059241230667	148.40057456400064	140
ADFL	MVR08	-3723.030666666667	-3869.0010441792797	-145.97037751261269	141
OLQDL	MVR20	1605.8183333333334	1751.5079149039998	145.6895815706664	142
