src_group	dst_group	observed	expected_mean	expected_std	z	emp_p	n_changed_edges
neuron	muscle	141	157.615	10.338821555466508	-1.6070496923525157	0.1044776119402985	1067
neuron	neuron	819	804.875	13.944591538149446	1.0129375221466326	0.31840796019900497	1067
neuron	sensory	36	37.32	6.402543464442108	-0.20616806544631863	0.8855721393034826	1067
sensory	muscle	9	4.95	2.0391889214308794	1.9860837597911984	0.04477611940298507	1067
sensory	neuron	54	54.575	7.103992436842368	-0.08094040148719285	0.9502487562189055	1067
sensory	sensory	8	7.665	2.733153056113159	0.12256905966195922	1.0	1067
